timestamp,active_addresses,average_transaction_value,block_height,block_size,block_time,current_supply,difficulty,hashrate,large_transaction_count,new_addresses,transaction_count,transaction_count_all_time,unique_addresses_all_time,zero_balance_addresses_all_time
2018-03-08,920570,5.18433958185493,512657.0,1019423.0,532.850931677018,16908202.2952987,3290605988755.0,26523450.1162345,10790,285506,196422,303656910,380848958,346094390
2018-03-09,887960,6.092722050371781,512803.0,1031228.0,585.179310344827,16910027.2952988,3290605988755.0,24151648.658590302,11718,285833,198180,303855090,381134791,346577994
2018-03-10,814934,4.00626051983665,512943.0,1013145.0,611.41726618705,16911777.2952987,3290605988755.0,23115220.7948945,7980,229996,156228,304011318,381364787,347085590
2018-03-11,888958,5.196549032924961,513096.0,1013150.0,555.223684210526,16913689.7952987,3290605988755.0,25454687.0164955,7672,222171,150884,304162202,381586958,347666994
2018-03-12,851084,5.41136828704895,513257.0,947042.0,530.46875,16915702.2952987,3290605988755.0,26642559.2567413,10620,271331,188394,304350596,381858289,348153645
2018-03-13,771468,8.1687239531711,513415.0,892580.0,541.522292993631,16917677.2952987,3290605988755.0,26098731.8316934,16206,274886,196140,304546736,382133175,348493046
2018-03-14,579629,5.43915251911868,513559.0,744636.0,594.4895104895111,16919477.2952987,3290605988755.0,23773413.754747603,11330,280331,191042,304737778,382413506,348739891
2018-03-15,622464,9.45166834255391,513703.0,770433.0,602.7132867132859,16921277.2952987,3290605988755.0,23449035.249902498,12486,299208,206186,304943964,382712714,349002875
2018-03-16,598710,5.60053630698902,513859.0,683671.0,551.116129032258,16923227.2952988,3290605988755.0,25644404.8018367,12686,274394,186979,305130943,382987108,349235905
2018-03-17,464245,15.7328074384029,514008.0,515427.0,578.047297297297,16925089.7952987,3290605988755.0,24449634.4361518,8668,226201,154496,305285439,383213309,349423047
2018-03-18,539648,9.856229403984221,514159.0,695280.0,575.366666666667,16926977.2952987,3381698122496.23,25243525.011991,10410,241296,164401,305449840,383454605,349632059
2018-03-19,588000,6.9607846356396506,514314.0,678044.0,553.292207792208,16928914.7952987,3462542391191.56,26878213.937844697,11455,279835,191528,305641368,383734440,349890149
2018-03-20,574335,5.7152163340337,514441.0,793882.0,683.111111111111,16930502.2952988,3462542391191.56,21770259.756121103,11518,289135,195168,305836536,384023575,350142544
2018-03-21,579292,4.78240628935642,514593.0,670269.0,566.9006622516561,16932402.2952987,3462542391191.56,26233002.219672304,11308,285142,194846,306031382,384308717,350394669
2018-03-22,600305,5.9596930935818895,514736.0,797819.0,583.802816901409,16934189.7952987,3462542391191.56,25473509.0353167,10863,274044,185187,306216569,384582761,350651065
2018-03-23,629230,5.45155908773571,514869.0,830547.0,653.484848484848,16935852.295297302,3462542391191.56,22757232.039368697,9884,264636,179818,306396387,384847397,350934721
2018-03-24,542035,4.99921399886146,515025.0,596551.0,552.4451612903231,16937802.295297302,3462542391191.56,26919425.4438697,7460,233433,157087,306553474,385080830,351196247
2018-03-25,446626,6.02300682317518,515160.0,568772.0,620.276119402985,16939489.795297302,3462542391191.56,23975622.8975818,6202,203095,135274,306688748,385283925,351392905
2018-03-26,589103,8.93531331119744,515310.0,712413.0,575.4765100671141,16941364.795297302,3462542391191.56,25842073.6051364,9029,275556,187850,306876598,385559481,351668164
2018-03-27,608149,5.7362232159745,515462.0,763199.0,569.615894039735,16943264.795297302,3462542391191.56,26107955.3551643,9838,274038,187065,307063663,385833519,351959936
